year,rank,iid,name,city,state,total_score,TLR,RP,GO,OI,PR
2023,77,IR-E-C-36995,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,46.03,63.67,24.55,64.1,49.95,17.57
2023,78,IR-E-C-1331,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,45.99,65.79,22.31,61.93,55.66,15.97
2023,79,IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,45.97,76.68,12.55,68.5,54.57,0.4
2023,80,IR-E-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,45.9,54.03,32.76,65.79,60.68,6.26
2023,81,IR-E-U-0946,Indian Institute of Technology Bhilai,Raipur,Chhattisgarh,45.86,73.09,13.54,65.54,59.29,8.26
2023,82,IR-E-U-0197,National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,45.7,58.44,26.62,64.89,59.67,12.3
2023,83,IR-E-U-0017,Jawaharlal Nehru Technological University,Hyderabad,Telangana,44.75,65.91,27.62,49.71,55.17,12.3
2023,84,IR-E-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,44.31,55.33,33.69,56.26,46.54,17.04
2023,85,IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,43.74,63.21,27.18,48.67,61.13,7.93
2023,86,IR-E-C-16626,Rajalakshmi Engineering College,Chennai,Tamil Nadu,43.46,65.55,14.62,62.3,63.29,6.26
2023,87,IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,43.43,59.49,34.78,38.33,65.91,8.91
2023,88,IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,43.41,52.56,20.81,74.64,58.08,6.6
2023,89,IR-E-U-0516,Indian Institute of Information Technology Allahabad,Prayagraj (Allahabad),Uttar Pradesh,43.29,45.02,21.94,77.31,53.63,23.85
2023,90,IR-E-U-0620,National Institute of Technology Goa,Ponda,Goa,43.28,59.25,23.92,56.69,58.46,11.4
2023,91,IR-E-U-0493,National Institute of Technology Agartala,Agratala,Tripura,43.24,54.36,28.21,59.38,59.61,6.26
2023,92,IR-E-U-0373,Chitkara  University,Rajpura,Punjab,42.48,47.51,30.88,52.35,62.84,22.25
2023,93,IR-E-U-0899,Indian Institute Of Technology Dharwad,Dharwad,Karnataka,42.36,64.84,15.16,57.36,39.17,29.69
2023,94,IR-E-C-24004,AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,42.32,59.16,12.98,72.07,56.81,5.92
2023,95,IR-E-U-0613,National Institute of Technology Manipur,Imphal,Manipur,42.28,63.06,20.62,53.37,61.24,3.79
2023,96,IR-E-C-1269,R.V. College of Engineering,Bengaluru,Karnataka,42.22,63.55,17.05,57.16,52.04,14.03
2023,97,IR-E-U-0286,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM)",Jabalpur,Madhya Pradesh,42.14,44.65,30.48,68.44,56.03,3.06
2023,98,IR-E-C-19754,SR University,Warangal,Telangana,42.09,65.32,15.79,51.98,62.66,10.79
2023,99,IR-E-U-0155,"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,41.99,64.15,21.73,45.29,63.74,7.93
2023,100,IR-E-C-30045,"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,41.93,69.79,5.7,58.27,69.95,6.26
