institute_id,institute_name,year,ft_year1,pt_year1,total_year1,ft_year2,pt_year2,total_year2,ft_year3,pt_year3,total_year3,Nphd
IR-E-U-0105,Indraprastha Institute of Information Technology,2024,21,0,21,21,0,21,24,0,24,22
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,2024,8,39,47,2,39,41,4,35,39,42.3333
IR-E-U-0516,Indian Institute of Information Technology Allahabad,2024,21,0,21,49,0,49,29,0,29,33
IR-E-U-0017,Jawaharlal Nehru Technological University,2024,8,146,154,11,148,159,18,271,289,200.6667
IR-E-U-0099,Guru Gobind Singh Indraprastha University,2024,23,52,75,22,21,43,26,24,50,56
IR-E-C-24004,AU College of Engineering (A),2024,101,44,145,33,73,106,63,83,146,132.3333
IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",2024,32,20,52,28,37,65,17,35,52,56.3333
IR-E-U-0190,Shoolini University of Biotechnology and Management Sciences,2024,18,0,18,16,0,16,19,0,19,17.6667
IR-E-U-0217,Christ University,2024,0,8,8,6,0,6,5,0,5,6.3333
IR-E-U-0373,Chitkara University,2024,37,7,44,3,23,26,10,15,25,31.6667
IR-E-U-0223,"Jain University, Bangalore",2024,20,0,20,21,0,21,26,0,26,22.3333
IR-E-C-30045,"C.V. Raman Global University, Odisha",2024,8,2,10,3,0,3,0,0,0,4.3333
IR-E-U-0621,National Institute of Technology Puducherry,2024,17,5,22,12,5,17,2,2,4,14.3333
IR-E-C-19754,SR University,2024,3,3,6,5,7,12,0,7,7,8.3333
IR-E-C-1269,R.V. College of Engineering,2024,6,82,88,11,67,78,1,28,29,65
IR-E-C-1297,Siddaganga Institute of Technology,2024,10,9,19,2,5,7,5,10,15,13.6667
IR-E-U-0456,Indian Institute of Technology Madras,2025,289,25,314,278,3,281,231,0,231,275.3333
IR-E-I-1074,Indian Institute of Technology Delhi,2025,409,55,464,295,60,355,238,69,307,375.3333
IR-E-U-0306,Indian Institute of Technology Bombay,2025,451,40,491,382,31,413,416,26,442,448.6667
IR-E-I-1075,Indian Institute of Technology Kanpur,2025,237,1,238,230,7,237,190,5,195,223.3333
IR-E-U-0573,Indian Institute of Technology Kharagpur,2025,494,0,494,324,0,324,396,0,396,404.6667
IR-E-U-0560,Indian Institute of Technology Roorkee,2025,141,4,145,143,5,148,169,0,169,154
IR-E-U-0013,Indian Institute of Technology Hyderabad,2025,80,9,89,65,9,74,84,14,98,87
IR-E-U-0053,Indian Institute of Technology Guwahati,2025,241,22,263,240,30,270,195,14,209,247.3333
IR-E-U-0467,National Institute of Technology Tiruchirappalli,2025,136,49,185,102,35,137,87,36,123,148.3333
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,2025,242,13,255,188,5,193,95,0,95,181
IR-E-U-0391,Birla Institute of Technology  & Science -Pilani,2025,73,18,91,61,20,81,51,32,83,85
IR-E-U-0273,Indian Institute of Technology Indore,2025,78,3,81,79,2,81,96,0,96,86
IR-E-U-0357,National Institute of Technology Rourkela,2025,168,0,168,111,0,111,123,0,123,134
IR-E-U-0473,S.R.M. Institute of Science and Technology,2025,151,128,279,169,105,274,60,106,166,239.6667
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),2025,190,111,301,239,204,443,163,87,250,331.3333
IR-E-U-0490,Vellore Institute of Technology,2025,221,7,228,196,12,208,105,99,204,213.3333
IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal",2025,106,33,139,121,17,138,103,23,126,134.3333
IR-E-U-0575,Jadavpur University,2025,129,0,129,131,0,131,136,0,136,132
IR-E-U-0064,Indian Institute of Technology Patna,2025,124,8,132,72,9,81,90,12,102,105
IR-E-U-0439,Anna University,2025,147,61,208,145,85,230,153,117,270,236
IR-E-U-0263,National Institute of Technology Calicut,2025,94,0,94,90,0,90,89,0,89,91
IR-E-U-0363,Siksha `O` Anusandhan,2025,140,0,140,124,3,127,57,0,57,108
IR-E-U-0436,Amrita Vishwa Vidyapeetham,2025,65,28,93,24,20,44,11,34,45,60.6667
IR-E-U-0108,Jamia Millia Islamia,2025,69,0,69,65,0,65,63,0,63,65.6667
IR-E-U-0139,Indian Institute of Technology Gandhinagar,2025,73,0,73,40,1,41,37,1,38,50.6667
IR-E-U-0184,Indian Institute of Technology Mandi,2025,47,2,49,59,10,69,56,3,59,59
IR-E-U-0395,Indian Institute of Technology Jodhpur,2025,25,0,25,20,2,22,12,4,16,21
IR-E-U-0025,National Institute of Technology Warangal,2025,89,18,107,91,17,108,65,15,80,98.3333
IR-E-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),2025,104,14,118,82,20,102,74,23,97,105.6667
IR-E-U-0098,Delhi Technological University,2025,137,66,203,74,65,139,28,24,52,131.3333
IR-E-U-0747,Chandigarh University,2025,61,22,83,77,38,115,79,0,79,92.3333
IR-E-U-0378,Indian Institute of Technology Ropar,2025,113,2,115,62,2,64,42,10,52,77
IR-E-U-0458,Kalasalingam Academy of Research and Education,2025,94,24,118,89,13,102,63,11,74,98
IR-E-U-0496,Aligarh Muslim University,2025,40,6,46,49,2,51,34,0,34,43.6667
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2025,158,23,181,119,0,119,69,73,142,147.3333
IR-E-U-0356,Kalinga Institute of Industrial Technology,2025,144,0,144,143,0,143,118,0,118,135
IR-E-U-0497,Amity University,2025,63,99,162,50,108,158,42,61,103,141
IR-E-U-0014,International Institute of Information Technology Hyderabad,2025,23,9,32,17,8,25,10,12,22,26.3333
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,2025,69,0,69,40,0,40,55,0,55,54.6667
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,2025,132,0,132,130,9,139,61,10,71,114
IR-E-U-0308,Institute of Chemical Technology,2025,62,11,73,53,5,58,45,3,48,59.6667
IR-E-U-0410,Malaviya National Institute of Technology,2025,92,36,128,56,21,77,65,32,97,100.6667
IR-E-U-0564,UPES,2025,3,32,35,1,19,20,2,17,19,24.6667
IR-E-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",2025,75,20,95,75,12,87,45,4,49,77
IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,2025,42,76,118,6,40,46,8,24,32,65.3333
IR-E-U-0329,Symbiosis International,2025,43,48,91,32,51,83,42,31,73,82.3333
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,2025,31,25,56,38,36,74,62,26,88,72.6667
IR-E-U-0379,Lovely Professional University,2025,53,102,155,29,58,87,18,76,94,112
IR-E-U-0577,National Institute of Technology Durgapur,2025,80,6,86,57,8,65,96,0,96,82.3333
IR-E-U-0055,National Institute of Technology Silchar,2025,68,26,94,79,11,90,47,8,55,79.6667
IR-E-U-0202,Birla Institute of Technology,2025,48,7,55,29,3,32,42,9,51,46
IR-E-U-0555,Graphic Era University,2025,6,10,16,5,7,12,27,0,27,18.3333
IR-E-U-0072,National Institute of Technology Patna,2025,87,72,159,58,45,103,50,18,68,110
IR-E-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",2025,94,0,94,69,0,69,93,0,93,85.3333
IR-E-U-0374,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",2025,60,10,70,33,10,43,47,0,47,53.3333
IR-E-U-0906,Indian Institute of Technology Jammu,2025,16,0,16,17,0,17,2,0,2,11.6667
IR-E-U-0844,"Indian Institute of Technology, Tirupati",2025,5,0,5,3,0,3,4,0,4,4
IR-E-U-0749,Manipal University Jaipur,2025,5,24,29,5,23,28,6,12,18,25
IR-E-C-7252,Manipal Institute of Technology,2025,42,0,42,39,0,39,25,0,25,35.3333
IR-E-U-0739,Madan Mohan Malaviya University of Technology,2025,89,0,89,69,0,69,39,16,55,71
IR-E-U-0255,Indian Institute of Space Science and Technology,2025,29,4,33,27,5,32,21,7,28,31
IR-E-U-0530,Motilal Nehru National Institute of Technology,2025,68,24,92,35,14,49,51,17,68,69.6667
IR-E-U-0105,Indraprastha Institute of Information Technology,2025,29,0,29,26,0,26,21,0,21,25.3333
IR-E-U-0878,Indian Institute of Technology Palakkad,2025,11,0,11,13,0,13,1,0,1,8.3333
IR-E-U-0622,National Institute of Technology Delhi,2025,22,1,23,18,0,18,18,4,22,21
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,2025,42,39,81,55,42,97,39,0,39,72.3333
IR-E-C-37013,PSG College of Technology,2025,16,33,49,14,42,56,18,43,61,55.3333
IR-E-U-0474,Sathyabama Institute of Science and Technology,2025,39,55,94,31,44,75,27,82,109,92.6667
IR-E-U-0221,International Institute of Information Technology Bangalore,2025,8,3,11,9,2,11,7,3,10,10.6667
IR-E-C-6379,Netaji Subhas University of Technology (NSUT),2025,30,0,30,22,0,22,103,0,103,51.6667
IR-E-U-0389,Banasthali Vidyapith,2025,69,0,69,49,0,49,58,0,58,58.6667
IR-E-U-0946,Indian Institute of Technology Bhilai,2025,6,3,9,1,1,2,6,0,6,5.6667
IR-E-U-0197,National Institute of Technology Srinagar,2025,78,12,90,59,2,61,43,7,50,67
IR-E-U-0042,University of Hyderabad,2025,20,4,24,19,0,19,78,0,78,40.3333
IR-E-C-1331,M. S. Ramaiah Institute of Technology,2025,14,34,48,11,36,47,8,31,39,44.6667
IR-E-U-0217,Christ University,2025,1,4,5,0,8,8,6,0,6,6.3333
IR-E-U-0899,Indian Institute of Technology Dharwad,2025,15,0,15,6,0,6,2,0,2,7.6667
IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,2025,20,5,25,11,0,11,19,0,19,18.3333
IR-E-U-0384,Sant Longowal Institute of Engineering & Technology,2025,11,6,17,23,10,33,12,10,22,24
IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",2025,54,12,66,32,20,52,28,37,65,61
IR-E-U-0284,Maulana Azad National Institute of Technology,2025,46,0,46,57,8,65,19,31,50,53.6667
IR-E-U-0207,"National Institute of Technology, Jamshedpur",2025,84,20,104,25,17,42,22,6,28,58
IR-E-U-0619,National Institute of Technology Meghalaya,2025,19,5,24,27,2,29,13,2,15,22.6667
IR-E-U-0223,"Jain university,Bangalore",2025,24,0,24,20,0,20,21,0,21,21.6667
